league,team,team_logo,player_name,player_link,squad_status,team_logo_url,full_name,date_of_birth,place_of_birth,latitude,longitude,height,position_full
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Crysencio Summerville,https://en.wikipedia.org/wiki/Crysencio_Summerville,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Crysencio Jilbert Sylverio Cirro Summerville[1],(2001-10-30)30 October 2001(age 22),"Rotterdam, Netherlands",51.92,4.48,1.74 m (5 ft 9 in)[2],Winger
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Michail Antonio,https://en.wikipedia.org/wiki/Michail_Antonio,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Michail Gregory Antonio[1],(1990-03-28)28 March 1990(age 34)[2],"Wandsworth, England",51.455,-0.192,5 ft 11 in (1.80 m)[3],Forward[4]
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Lucas Paquetá,https://en.wikipedia.org/wiki/Lucas_Paquet%C3%A1,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Lucas Tolentino Coelho de Lima[1],(1997-08-27)27 August 1997(age 27),"Rio de Janeiro, Brazil[2]",-22.91111,-43.20556,1.80 m (5 ft 11 in)[3],Attacking midfielder/Winger
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Niclas Füllkrug,https://en.wikipedia.org/wiki/Niclas_F%C3%BCllkrug,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Niclas Füllkrug[1],(1993-02-09)9 February 1993(age 31),"Hanover, Germany",52.367,9.717,1.89 m (6 ft 2 in)[2],Forward
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Mohammed Kudus,https://en.wikipedia.org/wiki/Mohammed_Kudus,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Mohammed Kudus[1],(2000-08-02)2 August 2000(age 24)[1],"Nima, Ghana",5.583,-0.2,1.75 m (5 ft 9 in)[1],"Attacking midfielder,Right winger"
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Konstantinos Mavropanos,https://en.wikipedia.org/wiki/Konstantinos_Mavropanos,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Konstantinos Mavropanos[1],(1997-12-11)11 December 1997(age 26)[2],"Athens, Greece",37.98417,23.72806,1.94 m (6 ft 4 in)[2],Centre-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Luis Guilherme,https://en.wikipedia.org/wiki/Luis_Guilherme,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Luis Guilherme Lira dos Santos[1],(2006-02-09)9 February 2006(age 18),"Aracaju, Brazil",-10.9167,-37.05,,Winger
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Danny Ings,https://en.wikipedia.org/wiki/Danny_Ings,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Daniel William John Ings[1],(1992-07-23)23 July 1992(age 32)[2],"Winchester, England",51.0632,-1.308,5 ft 10 in (1.78 m)[3],Striker
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Edson Álvarez,https://en.wikipedia.org/wiki/Edson_%C3%81lvarez,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Edson Omar Álvarez Velázquez[1],(1997-10-24)24 October 1997(age 26)[2],"Tlalnepantla, Mexico",19.53667,-99.19472,1.87 m (6 ft 2 in)[3],"Defensive midfielder,centre-back"
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Jarrod Bowen,https://en.wikipedia.org/wiki/Jarrod_Bowen,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Jarrod Bowen,(1996-12-20)20 December 1996(age 27),"Leominster, England",52.2282,-2.7385,5 ft 9 in (1.75 m)[1],"Right winger,forward"
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Wes Foderingham,https://en.wikipedia.org/wiki/Wes_Foderingham,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Wesley Andrew Foderingham[1],(1991-01-14)14 January 1991(age 33)[2],"Hammersmith,London,England",51.4928,-0.2229,1.85 m (6 ft 1 in)[3],Goalkeeper
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Alphonse Areola,https://en.wikipedia.org/wiki/Alphonse_Areola,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Alphonse Francis Areola,(1993-02-27)27 February 1993(age 31),"Paris, France",48.85667,2.35222,1.95 m (6 ft 5 in)[1],Goalkeeper
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Guido Rodríguez,https://en.wikipedia.org/wiki/Guido_Rodr%C3%ADguez,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Guido Rodríguez[1],(1994-04-12)12 April 1994(age 30)[2],"Sáenz Peña,Buenos Aires, Argentina",-34.6,-58.517,1.85 m (6 ft 1 in)[2][3],Defensive midfielder
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Jean-Clair Todibo,https://en.wikipedia.org/wiki/Jean-Clair_Todibo,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Jean-Clair Dimitri Roger Todibo[1],(1999-12-30)30 December 1999(age 24),"Cayenne, French Guiana[2]",4.9372,-52.326,1.90 m (6 ft 3 in)[3],Centre-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Max Kilman,https://en.wikipedia.org/wiki/Max_Kilman,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Maximilian William Kilman[1],(1997-05-23)23 May 1997(age 27)[2],"Chelsea, London, England",51.4875,-0.1684,6 ft 4 in (1.94 m)[3],Centre-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Tomáš Souček,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Sou%C4%8Dek,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,,(1995-02-27)27 February 1995(age 29),"Havlíčkův Brod, Czech Republic",49.60778,15.58083,1.92 m (6 ft 4 in)[1],Defensive midfielder
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Aaron Wan-Bissaka,https://en.wikipedia.org/wiki/Aaron_Wan-Bissaka,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Aaron Wan-Bissaka[1],(1997-11-26)26 November 1997(age 26)[2],"Croydon, England",51.3727,-0.1099,6 ft 0 in (1.83 m)[3],Right-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Emerson Palmieri,https://en.wikipedia.org/wiki/Emerson_Palmieri,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Emerson Palmieri dos Santos[1],(1994-08-03)3 August 1994(age 30)[2],"Santos,São Paulo, Brazil",-23.93694,-46.325,1.76 m (5 ft 9 in)[2],Left-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Andy Irving,https://en.wikipedia.org/wiki/Andy_Irving,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Andrew Irving[1],(2000-05-13)13 May 2000(age 24),"Edinburgh, Scotland[2]",55.95333,-3.18917,1.77 m (5 ft 10 in)[1],Midfielder
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Carlos Soler,https://en.wikipedia.org/wiki/Carlos_Soler,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Carlos Soler Barragán[1],(1997-01-02)2 January 1997(age 27),"Valencia, Spain",39.47,-0.37639,1.80 m (5 ft 11 in)[2],Midfielder
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Kurt Zouma,https://en.wikipedia.org/wiki/Kurt_Zouma,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Kurt Happy Zouma[1][2],(1994-10-27)27 October 1994(age 29)[3],"Lyon, France",45.76,4.84,1.90 m (6 ft 3 in)[4],Centre-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,James Ward-Prowse,https://en.wikipedia.org/wiki/James_Ward-Prowse,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,James Michael Edward Ward-Prowse[1],(1994-11-01)1 November 1994(age 29)[2],"Portsmouth, England",50.80583,-1.08722,5 ft 10 in (1.77 m)[3],Central midfielder[4]
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Maxwel Cornet,https://en.wikipedia.org/wiki/Maxwel_Cornet,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Gnaly Albert Maxwel Cornet[1],(1996-09-27)27 September 1996(age 27),"Bregbo, Ivory Coast",5.3,-3.833,1.79 m (5 ft 10 in),"Winger,full-back"
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Nayef Aguerd,https://en.wikipedia.org/wiki/Nayef_Aguerd,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Nayef Aguerd[1],(1996-03-30)30 March 1996(age 28)[2],"Kenitra, Morocco",34.25,-6.583,1.90 m (6 ft 3 in)[3],Centre-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,George Earthy,https://en.wikipedia.org/wiki/George_Earthy,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,George Robert Earthy[1],(2004-09-05)5 September 2004(age 19),"Havering, England[2]",51.55,0.217,5 ft 11 in (1.80 m)[3],Midfielder
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Callum Marshall,https://en.wikipedia.org/wiki/Callum_Marshall,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,,(2004-11-28)28 November 2004(age 19),"Glengormley, Northern Ireland",54.678,-5.963,1.81 m (5 ft 11 in)[1],Striker
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Levi Laing,https://en.wikipedia.org/wiki/Levi_Laing,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Levi Alexander Laing,(2003-04-12)12 April 2003(age 21),"Kingston upon Thames, England[1]",51.4103,-0.2995,1.88 m (6 ft 2 in)[2],Centre-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Patrick Kelly,"https://en.wikipedia.org/wiki/Patrick_Kelly_(footballer,_born_2004)",On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,,(2004-10-02)2 October 2004(age 19),"Portstewart, Northern Ireland[1]",55.18,-6.711,,Midfielder
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Michael Forbes,https://en.wikipedia.org/wiki/Michael_Forbes_(footballer),On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,,(2004-04-29)29 April 2004(age 20),"Ardboe, Northern Ireland[1]",54.623,-6.514,1.88 m (6 ft 2 in),Centre-back
Premier League,West Ham United,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Krisztián Hegyi,https://en.wikipedia.org/wiki/Kriszti%C3%A1n_Hegyi,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/175px-West_Ham_United_FC_logo.svg.png,Krisztián Hegyi[1],(2002-09-24)24 September 2002(age 21),"Budapest, Hungary",47.4925,19.05139,1.93 m (6 ft 4 in),Goalkeeper
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,José Sá,https://en.wikipedia.org/wiki/Jos%C3%A9_S%C3%A1,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,José Pedro Malheiro de Sá[1],(1993-01-17)17 January 1993(age 31)[1],"Braga, Portugal[2]",41.55111,-8.42833,1.92 m (6 ft 4 in)[1],Goalkeeper
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Matt Doherty,"https://en.wikipedia.org/wiki/Matt_Doherty_(footballer,_born_1992)",First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Matthew James Doherty[1],(1992-01-16)16 January 1992(age 32)[2],"Swords, Dublin, Ireland",53.4597,-6.2181,1.86 m (6 ft 1 in)[3],Full-back/wing-back
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Rayan Aït-Nouri,https://en.wikipedia.org/wiki/Rayan_A%C3%AFt-Nouri,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Rayan Aït-Nouri[1],(2001-06-06)6 June 2001(age 23),"Montreuil, France",48.8611,2.4436,1.80 m (5 ft 11 in)[2],"Left-back,left wing-back"
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Santiago Bueno,https://en.wikipedia.org/wiki/Santiago_Bueno,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Santiago Ignacio Bueno Sciutto[1],(1998-11-09)9 November 1998(age 25),"Montevideo, Uruguay",-34.90556,-56.18417,1.90 m (6 ft 3 in)[1],Centre-back
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Mario Lemina,https://en.wikipedia.org/wiki/Mario_Lemina,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Mario René Junior Lemina[1],(1993-09-01)1 September 1993(age 31)[2],"Libreville, Gabon",0.39028,9.45417,1.84 m (6 ft 0 in)[3],Defensive midfielder
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Boubacar Traoré,"https://en.wikipedia.org/wiki/Boubacar_Traor%C3%A9_(footballer,_born_2001)",First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Boubacar Traoré[1],(2001-08-20)20 August 2001(age 23)[2],"Bamako, Mali",12.63917,-8.00278,1.83 m (6 ft 0 in)[3],Defensive midfielder
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,André,"https://en.wikipedia.org/wiki/Andr%C3%A9_(footballer,_born_2001)",First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,André Trindade da Costa Neto[1],(2001-07-16)16 July 2001(age 23)[1],"Ibirataia, Brazil",-14.067,-39.633,1.76 m (5 ft 9 in)[1],Defensive midfielder
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,João Gomes,"https://en.wikipedia.org/wiki/Jo%C3%A3o_Gomes_(footballer,_born_2001)",First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,João Victor Gomes da Silva[1],(2001-02-12)12 February 2001(age 23),"Rio de Janeiro, Brazil",-22.91111,-43.20556,1.76 m (5 ft 9 in),Central midfielder
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Jørgen Strand Larsen,https://en.wikipedia.org/wiki/J%C3%B8rgen_Strand_Larsen,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Jørgen Strand Larsen,(2000-02-06)6 February 2000(age 24),"Halden, Norway",59.12111,11.38222,1.93 m (6 ft 4 in)[1],"Forward,right winger"
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Daniel Podence,https://en.wikipedia.org/wiki/Daniel_Podence,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Daniel Castelo Podence[1],(1995-10-21)21 October 1995(age 28)[2],"Oeiras, Portugal[3]",38.683,-9.317,1.65 m (5 ft 5 in)[4],Winger
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Hwang Hee-chan,https://en.wikipedia.org/wiki/Hwang_Hee-chan,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Hwang Hee-chan[1],(1996-01-26)26 January 1996(age 28),"Chuncheon,Gangwon, South Korea",37.867,127.733,1.77 m (5 ft 10 in)[2],Forward
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Matheus Cunha,https://en.wikipedia.org/wiki/Matheus_Cunha,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Matheus Santos Carneiro da Cunha[1],(1999-05-27)27 May 1999(age 25)[2],"João Pessoa, Paraíba, Brazil",-7.12,-34.88,1.84 m (6 ft 0 in)[2],"Forward,second striker,winger"
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Yerson Mosquera,https://en.wikipedia.org/wiki/Yerson_Mosquera,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Yerson Mosquera Valdelamar[1],(2001-05-02)2 May 2001(age 23),"Apartadó, Colombia[2]",7.883,-76.633,1.88 m (6 ft 2 in)[2],Centre-back
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Craig Dawson,https://en.wikipedia.org/wiki/Craig_Dawson,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Craig Dawson[1],(1990-05-06)6 May 1990(age 34)[2],"Rochdale, England[3]",53.61,-2.16,,Centre-back
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Saša Kalajdžić,https://en.wikipedia.org/wiki/Sa%C5%A1a_Kalajd%C5%BEi%C4%87,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Saša Kalajdžić[1],(1997-07-07)7 July 1997(age 27)[2],"Vienna, Austria",48.20778,16.37139,2.00 m (6 ft 7 in)[2],Striker
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Rodrigo Gomes,https://en.wikipedia.org/wiki/Rodrigo_Gomes,First Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Rodrigo Martins Gomes,(2003-07-07)7 July 2003(age 21),"Vila Verde, Portugal",41.65,-8.433,1.74 m (5 ft 9 in),"Winger,wing-back"
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Tommy Doyle,"https://en.wikipedia.org/wiki/Tommy_Doyle_(footballer,_born_2001)",On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Thomas Glyn Doyle[1],(2001-10-17)17 October 2001(age 22)[2],"Manchester, England",53.479,-2.2452,1.72 m (5 ft 8 in)[2],Central midfielder
Premier League,Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Pablo Sarabia,https://en.wikipedia.org/wiki/Pablo_Sarabia,On Loan,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/200px-Wolverhampton_Wanderers_FC_crest.svg.png,Pablo Sarabia García[1],(1992-05-11)11 May 1992(age 32)[2],"Madrid, Spain[2]",40.41694,-3.70333,1.74 m (5 ft 9 in)[3],"Attacking midfielder,winger"
